entity_type_a,entity_id_a,entity_type_b,entity_id_b,quantum_compatibility,topological_compatibility,integrated_compatibility
person,user_1,event,event_0,0.8785103582654947,1.0,0.8785103582654947
person,user_1,event,event_1,0.9204526961535267,1.0,0.9204526961535267
person,user_1,event,event_2,0.9263040464155261,1.0,0.9263040464155261
person,user_1,event,event_3,0.8471524051966226,1.0,0.8471524051966226
person,user_1,event,event_4,0.9268760046667456,1.0,0.9268760046667456
person,user_2,event,event_0,0.6395304561786813,1.0,0.6395304561786813
person,user_2,event,event_1,0.6438780362982646,1.0,0.6438780362982646
person,user_2,event,event_2,0.6199743164775187,1.0,0.6199743164775187
person,user_2,event,event_3,0.5689636447443568,1.0,0.5689636447443568
person,user_2,event,event_4,0.5964516744600462,1.0,0.5964516744600462
person,user_3,event,event_0,0.8208971060435566,1.0,0.8208971060435566
person,user_3,event,event_1,0.7472622857050314,1.0,0.7472622857050314
person,user_3,event,event_2,0.642763379319483,1.0,0.642763379319483
person,user_3,event,event_3,0.7365405889084449,1.0,0.7365405889084449
person,user_3,event,event_4,0.6564722224960443,1.0,0.6564722224960443
person,user_4,event,event_0,0.9247530323942006,1.0,0.9247530323942006
person,user_4,event,event_1,0.9450521831049848,1.0,0.9450521831049848
person,user_4,event,event_2,0.925682017524276,1.0,0.925682017524276
person,user_4,event,event_3,0.870471576923882,1.0,0.870471576923882
person,user_4,event,event_4,0.9262691741518991,1.0,0.9262691741518991
person,user_5,event,event_0,0.9075556996535207,1.0,0.9075556996535207
person,user_5,event,event_1,0.9202536997481818,1.0,0.9202536997481818
person,user_5,event,event_2,0.8843285724851548,1.0,0.8843285724851548
person,user_5,event,event_3,0.7653149793772868,1.0,0.7653149793772868
person,user_5,event,event_4,0.8806930256157272,1.0,0.8806930256157272
person,user_1,place,place_0,0.8840290068400518,1.0,0.8840290068400518
person,user_1,place,place_1,0.8417426467804783,1.0,0.8417426467804783
person,user_1,place,place_2,0.9008376128850308,1.0,0.9008376128850308
person,user_1,place,place_3,0.9073024723706962,1.0,0.9073024723706962
person,user_1,place,place_4,0.9626967150061432,1.0,0.9626967150061432
person,user_2,place,place_0,0.73664929234653,1.0,0.73664929234653
person,user_2,place,place_1,0.7615059336859796,1.0,0.7615059336859796
person,user_2,place,place_2,0.5665184202542088,1.0,0.5665184202542088
person,user_2,place,place_3,0.7661752870181425,1.0,0.7661752870181425
person,user_2,place,place_4,0.6890224448343322,1.0,0.6890224448343322
person,user_3,place,place_0,0.8277421802155794,1.0,0.8277421802155794
person,user_3,place,place_1,0.7854753194290147,1.0,0.7854753194290147
person,user_3,place,place_2,0.8328211676260785,1.0,0.8328211676260785
person,user_3,place,place_3,0.7553047701843656,1.0,0.7553047701843656
person,user_3,place,place_4,0.7593957597334179,1.0,0.7593957597334179
person,user_4,place,place_0,0.938127237310832,1.0,0.938127237310832
person,user_4,place,place_1,0.8968938227827538,1.0,0.8968938227827538
person,user_4,place,place_2,0.9344998178356857,1.0,0.9344998178356857
person,user_4,place,place_3,0.9447221784150481,1.0,0.9447221784150481
person,user_4,place,place_4,0.9826690593631681,1.0,0.9826690593631681
person,user_5,place,place_0,0.9011769052476305,1.0,0.9011769052476305
person,user_5,place,place_1,0.8452266294919875,1.0,0.8452266294919875
person,user_5,place,place_2,0.8723041425411489,1.0,0.8723041425411489
person,user_5,place,place_3,0.8848026461025379,1.0,0.8848026461025379
person,user_5,place,place_4,0.9155908190787492,1.0,0.9155908190787492
person,user_1,company,company_0,0.9172982072411549,1.0,0.9172982072411549
person,user_1,company,company_1,0.853629637829737,1.0,0.853629637829737
person,user_1,company,company_2,0.7697698719300841,1.0,0.7697698719300841
person,user_1,company,company_3,0.9215673064598479,1.0,0.9215673064598479
person,user_1,company,company_4,0.8382211585614159,1.0,0.8382211585614159
person,user_2,company,company_0,0.6112420146540477,1.0,0.6112420146540477
person,user_2,company,company_1,0.7090380833404935,1.0,0.7090380833404935
person,user_2,company,company_2,0.5853859154461322,1.0,0.5853859154461322
person,user_2,company,company_3,0.6370906926387958,1.0,0.6370906926387958
person,user_2,company,company_4,0.5581598720731357,1.0,0.5581598720731357
person,user_3,company,company_0,0.631551206005319,1.0,0.631551206005319
person,user_3,company,company_1,0.8588837471076378,1.0,0.8588837471076378
person,user_3,company,company_2,0.9091513975796105,1.0,0.9091513975796105
person,user_3,company,company_3,0.6146719698938369,1.0,0.6146719698938369
person,user_3,company,company_4,0.8824056182741845,1.0,0.8824056182741845
person,user_4,company,company_0,0.9157071613473113,1.0,0.9157071613473113
person,user_4,company,company_1,0.916378514654842,1.0,0.916378514654842
person,user_4,company,company_2,0.8420690627141477,1.0,0.8420690627141477
person,user_4,company,company_3,0.9176258812541497,1.0,0.9176258812541497
person,user_4,company,company_4,0.890530727329252,1.0,0.890530727329252
person,user_5,company,company_0,0.8788502113693841,1.0,0.8788502113693841
person,user_5,company,company_1,0.8826990888452494,1.0,0.8826990888452494
person,user_5,company,company_2,0.7854405583262035,1.0,0.7854405583262035
person,user_5,company,company_3,0.8736120533550311,1.0,0.8736120533550311
person,user_5,company,company_4,0.8198218154226778,1.0,0.8198218154226778
